NrSiblings,MathScore,ParentEduc,PracticeSport,WklyStudyHours,Gender_male,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_standard,TestPrep_none,IsFirstChild_yes
3,71,3,2,0,False,False,True,False,False,True,True,True
0,69,1,1,1,False,False,True,False,False,True,True,True
4,87,4,1,0,False,True,False,False,False,True,True,True
1,45,2,0,1,True,False,False,False,False,False,True,False
0,76,1,1,1,True,False,True,False,False,True,True,True
1,73,2,2,1,False,True,False,False,False,True,True,True
1,85,1,0,1,False,True,False,False,False,True,False,False
1,41,1,1,2,True,True,False,False,False,False,True,True
3,65,0,1,2,True,False,False,True,False,False,False,False
1,37,0,2,0,False,True,False,False,False,False,True,True
1,58,2,1,1,True,False,True,False,False,True,True,True
1,40,2,1,1,True,False,False,True,False,True,True,True
1,66,0,2,1,False,True,False,False,False,True,True,False
1,80,1,1,2,True,False,False,False,False,True,False,True
2,48,4,1,0,False,False,False,False,False,True,True,True
0,88,0,1,1,True,False,True,False,False,True,True,True
1,46,4,1,1,True,False,True,False,False,False,False,False
3,50,2,0,0,False,False,True,False,False,False,True,True
5,66,0,1,1,True,False,False,True,False,True,True,True
2,65,1,1,1,False,True,False,False,False,False,False,False
5,42,4,0,1,True,False,False,True,False,True,True,True
3,66,0,0,1,False,False,True,False,False,True,True,False
2,74,1,1,1,True,False,False,True,False,False,False,True
1,75,4,2,1,True,False,False,False,False,False,True,True
5,66,1,1,0,True,True,False,False,False,True,True,True
4,69,3,1,2,False,False,True,False,False,True,True,True
1,70,0,1,1,True,False,True,False,False,True,True,False
0,66,1,1,0,False,False,False,True,False,True,True,True
5,63,1,1,1,False,True,False,False,False,True,True,True
1,56,4,1,1,False,False,False,False,True,False,True,True
2,40,1,1,1,True,False,True,False,False,True,True,False
1,81,2,1,1,True,False,False,False,True,True,False,False
2,76,2,2,1,False,False,False,True,False,True,True,False
1,51,0,2,1,False,False,False,True,False,False,True,True
1,77,2,2,1,False,False,False,True,False,False,False,False
5,58,2,2,1,True,True,False,False,False,False,True,True
0,53,2,0,1,True,False,True,False,False,False,True,True
1,59,2,2,1,False,False,True,False,False,True,True,False
3,60,1,2,1,True,True,False,False,False,False,True,True
5,48,2,1,0,False,False,False,False,True,False,True,True
3,63,2,1,0,True,True,False,False,False,True,True,True
3,67,0,2,1,False,False,True,False,False,True,True,True
3,54,1,1,2,True,False,False,False,True,True,True,False
2,76,2,2,0,True,False,True,False,False,False,False,False
3,56,1,2,2,True,False,True,False,False,True,True,True
2,88,0,1,1,True,False,False,True,False,True,True,True
3,75,0,2,2,False,False,True,False,False,False,False,True
2,33,0,1,1,False,False,True,False,False,False,True,True
3,84,2,1,2,False,False,False,False,True,True,False,True
2,52,2,1,1,True,False,False,True,False,True,True,False
1,61,1,2,2,True,False,False,True,False,True,False,False
1,39,0,1,1,True,False,False,False,False,False,True,True
5,62,2,1,1,True,False,False,False,False,False,True,True
0,59,0,1,1,False,False,False,True,False,True,True,True
1,63,0,0,0,True,True,False,False,False,True,True,True
4,45,0,1,1,True,False,False,True,False,False,True,True
3,61,1,2,1,False,False,True,False,False,True,True,False
3,39,2,1,1,False,False,True,False,False,True,True,True
3,64,1,1,2,True,False,False,True,False,True,False,True
1,42,2,2,1,False,False,False,False,False,False,True,True
3,59,0,0,1,True,False,True,False,False,False,True,True
2,47,0,1,0,True,False,True,False,False,True,True,True
1,44,2,1,1,True,True,False,False,False,False,True,False
1,82,0,2,1,True,False,False,False,False,True,False,True
2,62,0,1,2,False,False,False,True,False,True,False,True
1,60,4,0,1,False,False,False,False,True,True,True,True
0,49,2,2,2,False,True,False,False,False,True,True,True
2,50,1,1,1,True,False,False,False,False,False,False,False
0,74,2,2,1,True,False,False,False,True,True,True,True
0,73,1,1,1,False,False,True,False,False,True,True,True
3,73,1,1,0,False,False,True,False,False,False,True,True
0,71,2,1,1,False,False,False,True,False,True,True,True
3,57,1,2,0,False,False,False,False,False,True,True,True
1,75,0,1,2,False,False,False,True,False,True,True,True
4,27,0,2,1,True,False,True,False,False,False,True,False
1,68,0,1,0,True,False,True,False,False,True,True,False
3,45,2,2,2,True,False,True,False,False,False,False,False
4,81,1,2,1,False,True,False,False,False,True,True,True
5,63,0,2,1,True,True,False,False,False,True,False,True
0,59,1,0,0,False,False,True,False,False,True,False,True
2,61,1,2,2,False,False,False,True,False,False,True,True
3,64,3,2,0,False,False,False,True,False,True,True,True
7,79,1,1,1,True,True,False,False,False,True,True,False
