NrSiblings,MathScore,WritingScore,ParentEduc,PracticeSport,WklyStudyHours,Gender_male,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_standard,TestPrep_none,IsFirstChild_yes
3,71,74,3,2,0,0,0,1,0,0,1,1,1
0,69,88,1,1,1,0,0,1,0,0,1,1,1
4,87,91,4,1,0,0,1,0,0,0,1,1,1
1,45,42,2,0,1,1,0,0,0,0,0,1,0
0,76,75,1,1,1,1,0,1,0,0,1,1,1
1,73,79,2,2,1,0,1,0,0,0,1,1,1
1,85,89,1,0,1,0,1,0,0,0,1,0,0
1,41,39,1,1,2,1,1,0,0,0,0,1,1
3,65,68,0,1,2,1,0,0,1,0,0,0,0
1,37,50,0,2,0,0,1,0,0,0,0,1,1
1,58,52,2,1,1,1,0,1,0,0,1,1,1
1,40,43,2,1,1,1,0,0,1,0,1,1,1
1,66,74,0,2,1,0,1,0,0,0,1,1,0
1,80,71,1,1,2,1,0,0,0,0,1,0,1
2,48,58,4,1,0,0,0,0,0,0,1,1,1
0,88,86,0,1,1,1,0,1,0,0,1,1,1
1,46,47,4,1,1,1,0,1,0,0,0,0,0
3,50,58,2,0,0,0,0,1,0,0,0,1,1
5,66,63,0,1,1,1,0,0,1,0,1,1,1
2,65,70,1,1,1,0,1,0,0,0,0,0,0
5,42,51,4,0,1,1,0,0,1,0,1,1,1
3,66,71,0,0,1,0,0,1,0,0,1,1,0
2,74,80,1,1,1,1,0,0,1,0,0,0,1
1,75,76,4,2,1,1,0,0,0,0,0,1,1
5,66,53,1,1,0,1,1,0,0,0,1,1,1
4,69,76,3,1,2,0,0,1,0,0,1,1,1
1,70,65,0,1,1,1,0,1,0,0,1,1,0
0,66,72,1,1,0,0,0,0,1,0,1,1,1
5,63,61,1,1,1,0,1,0,0,0,1,1,1
1,56,66,4,1,1,0,0,0,0,1,0,1,1
2,40,38,1,1,1,1,0,1,0,0,1,1,0
1,81,79,2,1,1,1,0,0,0,1,1,0,0
2,76,85,2,2,1,0,0,0,1,0,1,1,0
1,51,60,0,2,1,0,0,0,1,0,0,1,1
1,77,90,2,2,1,0,0,0,1,0,0,0,0
5,58,58,2,2,1,1,1,0,0,0,0,1,1
0,53,52,2,0,1,1,0,1,0,0,0,1,1
1,59,69,2,2,1,0,0,1,0,0,1,1,0
3,60,67,1,2,1,1,1,0,0,0,0,1,1
5,48,52,2,1,0,0,0,0,0,1,0,1,1
3,63,55,2,1,0,1,1,0,0,0,1,1,1
3,67,77,0,2,1,0,0,1,0,0,1,1,1
3,54,48,1,1,2,1,0,0,0,1,1,1,0
2,76,68,2,2,0,1,0,1,0,0,0,0,0
3,56,43,1,2,2,1,0,1,0,0,1,1,1
2,88,75,0,1,1,1,0,0,1,0,1,1,1
3,75,90,0,2,2,0,0,1,0,0,0,0,1
2,33,43,0,1,1,0,0,1,0,0,0,1,1
3,84,87,2,1,2,0,0,0,0,1,1,0,1
2,52,49,2,1,1,1,0,0,1,0,1,1,0
1,61,60,1,2,2,1,0,0,1,0,1,0,0
1,39,34,0,1,1,1,0,0,0,0,0,1,1
5,62,55,2,1,1,1,0,0,0,0,0,1,1
0,59,59,0,1,1,0,0,0,1,0,1,1,1
1,63,58,0,0,0,1,1,0,0,0,1,1,1
4,45,37,0,1,1,1,0,0,1,0,0,1,1
3,61,75,1,2,1,0,0,1,0,0,1,1,0
3,39,57,2,1,1,0,0,1,0,0,1,1,1
3,64,64,1,1,2,1,0,0,1,0,1,0,1
1,42,49,2,2,1,0,0,0,0,0,0,1,1
3,59,54,0,0,1,1,0,1,0,0,0,1,1
2,47,40,0,1,0,1,0,1,0,0,1,1,1
1,44,38,2,1,1,1,1,0,0,0,0,1,0
1,82,83,0,2,1,1,0,0,0,0,1,0,1
2,62,73,0,1,2,0,0,0,1,0,1,0,1
1,60,68,4,0,1,0,0,0,0,1,1,1,1
0,49,52,2,2,2,0,1,0,0,0,1,1,1
2,50,54,1,1,1,1,0,0,0,0,0,0,0
0,74,64,2,2,1,1,0,0,0,1,1,1,1
0,73,82,1,1,1,0,0,1,0,0,1,1,1
3,73,86,1,1,0,0,0,1,0,0,0,1,1
0,71,74,2,1,1,0,0,0,1,0,1,1,1
3,57,67,1,2,0,0,0,0,0,0,1,1,1
1,75,83,0,1,2,0,0,0,1,0,1,1,1
4,27,36,0,2,1,1,0,1,0,0,0,1,0
1,68,69,0,1,0,1,0,1,0,0,1,1,0
3,45,52,2,2,2,1,0,1,0,0,0,0,0
4,81,94,1,2,1,0,1,0,0,0,1,1,1
5,63,61,0,2,1,1,1,0,0,0,1,0,1
0,59,66,1,0,0,0,0,1,0,0,1,0,1
2,61,64,1,2,2,0,0,0,1,0,0,1,1
3,64,62,3,2,0,0,0,0,1,0,1,1,1
7,79,67,1,1,1,1,1,0,0,0,1,1,0
1,68,74,3,1,1,1,0,0,1,0,1,0,0
3,87,91,2,2,1,0,0,0,1,0,1,1,1
3,61,48,0,2,1,1,1,0,0,0,1,0,0
1,100,94,1,2,2,1,0,1,0,0,1,0,1
0,58,72,1,1,1,0,0,1,0,0,1,1,1
3,87,100,4,1,1,0,0,0,1,0,1,1,0
0,66,64,3,1,1,1,0,0,0,1,1,0,1
2,52,70,2,1,1,0,1,0,0,0,0,1,1
3,72,73,0,2,1,0,1,0,0,0,1,1,0
4,79,99,2,1,2,0,0,0,1,0,0,0,1
6,63,50,0,2,1,1,0,1,0,0,1,1,0
0,54,47,2,1,1,1,0,0,0,0,1,1,1
1,47,51,1,0,0,0,0,0,1,0,1,1,1
3,98,100,3,2,0,0,0,0,0,1,1,0,1
4,84,74,0,1,1,1,0,1,0,0,1,1,1
1,72,79,3,0,1,0,1,0,0,0,0,1,0
2,75,77,3,0,1,0,0,0,1,0,1,1,0
0,54,63,0,2,2,0,0,0,1,0,1,1,1
3,55,65,1,1,1,0,0,1,0,0,1,1,0
1,76,86,3,0,1,0,0,1,0,0,1,0,1
3,88,90,2,1,0,1,1,0,0,0,1,0,1
1,90,95,1,2,1,0,0,1,0,0,1,0,1
3,82,73,1,2,0,1,0,0,0,1,1,1,0
2,86,85,0,0,2,0,1,0,0,0,1,1,1
3,72,67,1,1,1,1,1,0,0,0,1,1,0
3,64,74,1,2,0,1,0,0,1,0,1,1,0
2,77,72,4,0,0,1,0,0,1,0,1,1,1
0,52,52,3,2,1,0,0,0,0,0,1,1,1
1,87,82,4,1,0,1,0,0,1,0,1,1,0
1,52,40,0,2,0,1,0,1,0,0,0,0,1
2,89,71,1,2,1,1,0,1,0,0,0,0,1
6,70,80,1,0,0,0,0,1,0,0,1,0,0
1,76,76,3,1,2,1,0,0,1,0,0,0,1
1,56,47,3,1,0,1,0,1,0,0,1,1,1
