NrSiblings,MathScore,AvgWritingReading,ParentEduc,PracticeSport,WklyStudyHours,Gender_male,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_standard,TestPrep_none,IsFirstChild_yes
3,71,72.5,3,2,0,0,0,1,0,0,1,1,1
0,69,89.0,1,1,1,0,0,1,0,0,1,1,1
4,87,92.0,4,1,0,0,1,0,0,0,1,1,1
1,45,49.0,2,0,1,1,0,0,0,0,0,1,0
0,76,76.5,1,1,1,1,0,1,0,0,1,1,1
1,73,81.5,2,2,1,0,1,0,0,0,1,1,1
1,85,91.0,1,0,1,0,1,0,0,0,1,0,0
1,41,41.0,1,1,2,1,1,0,0,0,0,1,1
3,65,66.0,0,1,2,1,0,0,1,0,0,0,0
1,37,54.5,0,2,0,0,1,0,0,0,0,1,1
1,58,53.0,2,1,1,1,0,1,0,0,1,1,1
1,40,47.5,2,1,1,1,0,0,1,0,1,1,1
1,66,78.0,0,2,1,0,1,0,0,0,1,1,0
1,80,72.0,1,1,2,1,0,0,0,0,1,0,1
2,48,55.5,4,1,0,0,0,0,0,0,1,1,1
0,88,87.5,0,1,1,1,0,1,0,0,1,1,1
1,46,44.5,4,1,1,1,0,1,0,0,0,0,0
3,50,57.0,2,0,0,0,0,1,0,0,0,1,1
5,66,66.0,0,1,1,1,0,0,1,0,1,1,1
2,65,72.5,1,1,1,0,1,0,0,0,0,0,0
5,42,52.0,4,0,1,1,0,0,1,0,1,1,1
3,66,71.0,0,0,1,0,0,1,0,0,1,1,0
2,74,75.5,1,1,1,1,0,0,1,0,0,0,1
1,75,76.0,4,2,1,1,0,0,0,0,0,1,1
5,66,53.0,1,1,0,1,1,0,0,0,1,1,1
4,69,73.0,3,1,2,0,0,1,0,0,1,1,1
1,70,67.5,0,1,1,1,0,1,0,0,1,1,0
0,66,72.0,1,1,0,0,0,0,1,0,1,1,1
5,63,63.0,1,1,1,0,1,0,0,0,1,1,1
1,56,69.5,4,1,1,0,0,0,0,1,0,1,1
2,40,40.0,1,1,1,1,0,1,0,0,1,1,0
1,81,80.0,2,1,1,1,0,0,0,1,1,0,0
2,76,83.5,2,2,1,0,0,0,1,0,1,1,0
1,51,62.0,0,2,1,0,0,0,1,0,0,1,1
1,77,90.5,2,2,1,0,0,0,1,0,0,0,0
5,58,57.0,2,2,1,1,1,0,0,0,0,1,1
0,53,56.0,2,0,1,1,0,1,0,0,0,1,1
1,59,71.5,2,2,1,0,0,1,0,0,1,1,0
3,60,66.0,1,2,1,1,1,0,0,0,0,1,1
5,48,53.5,2,1,0,0,0,0,0,1,0,1,1
3,63,54.0,2,1,0,1,1,0,0,0,1,1,1
3,67,74.5,0,2,1,0,0,1,0,0,1,1,1
3,54,51.5,1,1,2,1,0,0,0,1,1,1,0
2,76,68.0,2,2,0,1,0,1,0,0,0,0,0
3,56,44.0,1,2,2,1,0,1,0,0,1,1,1
2,88,76.5,0,1,1,1,0,0,1,0,1,1,1
3,75,88.0,0,2,2,0,0,1,0,0,0,0,1
2,33,42.0,0,1,1,0,0,1,0,0,0,1,1
3,84,86.5,2,1,2,0,0,0,0,1,1,0,1
2,52,52.0,2,1,1,1,0,0,1,0,1,1,0
1,61,60.0,1,2,2,1,0,0,1,0,1,0,0
1,39,36.5,0,1,1,1,0,0,0,0,0,1,1
5,62,58.0,2,1,1,1,0,0,0,0,0,1,1
0,59,58.5,0,1,1,0,0,0,1,0,1,1,1
1,63,60.0,0,0,0,1,1,0,0,0,1,1,1
4,45,37.0,0,1,1,1,0,0,1,0,0,1,1
3,61,74.0,1,2,1,0,0,1,0,0,1,1,0
3,39,60.5,2,1,1,0,0,1,0,0,1,1,1
3,64,59.5,1,1,2,1,0,0,1,0,1,0,1
1,42,50.0,2,2,1,0,0,0,0,0,0,1,1
3,59,55.0,0,0,1,1,0,1,0,0,0,1,1
2,47,44.0,0,1,0,1,0,1,0,0,1,1,1
1,44,39.5,2,1,1,1,1,0,0,0,0,1,0
1,82,81.0,0,2,1,1,0,0,0,0,1,0,1
2,62,74.0,0,1,2,0,0,0,1,0,1,0,1
1,60,68.0,4,0,1,0,0,0,0,1,1,1,1
0,49,51.0,2,2,2,0,1,0,0,0,1,1,1
2,50,50.5,1,1,1,1,0,0,0,0,0,0,0
0,74,64.0,2,2,1,1,0,0,0,1,1,1,1
0,73,81.0,1,1,1,0,0,1,0,0,1,1,1
3,73,83.5,1,1,0,0,0,1,0,0,0,1,1
0,71,72.5,2,1,1,0,0,0,1,0,1,1,1
3,57,68.0,1,2,0,0,0,0,0,0,1,1,1
1,75,85.0,0,1,2,0,0,0,1,0,1,1,1
4,27,35.0,0,2,1,1,0,1,0,0,0,1,0
1,68,73.0,0,1,0,1,0,1,0,0,1,1,0
3,45,49.0,2,2,2,1,0,1,0,0,0,0,0
4,81,90.5,1,2,1,0,1,0,0,0,1,1,1
5,63,63.0,0,2,1,1,1,0,0,0,1,0,1
